epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.55148,0.84022,2.39473,1.31182,0.91348,0.37717,0.75629,0.63299,0.48586,2.44746,0.98641,0.00028,0.00028,0.00028
2,9.24128,0.71039,1.21293,1.1386,0.94624,0.62864,0.81183,0.64063,0.61903,2.22656,1.1226,0.000579426,0.000579426,0.000579426
3,12.879,0.7215,1.20392,1.19173,0.97659,0.74498,0.80517,0.66839,0.59292,1.77281,1.0792,0.000878258,0.000878258,0.000878258
4,16.393,0.76388,1.15604,1.18682,0.96533,0.49726,0.74744,0.53015,0.78243,2.03021,1.25373,0.0011765,0.0011765,0.0011765
5,19.8485,0.77886,1.17402,1.17068,0.65266,0.20153,0.33852,0.20615,1.35292,2.6337,1.79178,0.00147414,0.00147414,0.00147414
6,23.2164,0.76833,1.03197,1.18334,0.49567,0.5,0.5173,0.28722,1.25032,2.12427,1.70434,0.00177119,0.00177119,0.00177119
7,26.6974,0.81782,1.00862,1.1714,0.8883,0.66071,0.78779,0.50015,1.0334,1.4285,1.633,0.00198812,0.00198812,0.00198812
8,30.0855,0.78604,0.95806,1.15557,0.70151,0.48214,0.50552,0.20487,1.77301,2.12696,2.04886,0.00198614,0.00198614,0.00198614
9,33.5369,0.76324,0.90771,1.17008,0.4641,0.57143,0.51577,0.21388,1.86514,1.62011,2.02657,0.00198416,0.00198416,0.00198416
10,36.8733,0.7277,0.83681,1.13863,0.79248,0.75013,0.85671,0.49323,1.36121,1.22309,1.64286,0.00198218,0.00198218,0.00198218
11,40.2396,0.71734,0.79417,1.13337,0.87071,0.76786,0.87032,0.64217,0.80991,1.03511,1.20813,0.0019802,0.0019802,0.0019802
12,43.7211,0.72488,0.77714,1.14035,0.92911,0.64286,0.82273,0.58694,0.75094,0.99855,1.17938,0.00197822,0.00197822,0.00197822
13,47.0628,0.71209,0.7603,1.10984,0.78452,0.69643,0.77813,0.58435,0.7684,0.98287,1.16344,0.00197624,0.00197624,0.00197624
14,50.4684,0.67773,0.75078,1.13831,0.96958,0.83929,0.91937,0.71078,0.73467,0.82896,1.16504,0.00197426,0.00197426,0.00197426
15,53.9007,0.69648,0.70559,1.12231,0.89551,0.76524,0.89864,0.69773,0.66349,0.82782,1.08122,0.00197228,0.00197228,0.00197228
16,57.2393,0.67288,0.70497,1.14854,0.81065,0.76786,0.84694,0.64178,0.69813,0.92703,1.12801,0.0019703,0.0019703,0.0019703
17,60.7283,0.67749,0.68843,1.10931,0.93617,0.76786,0.86246,0.69974,0.58664,0.62664,1.0543,0.00196832,0.00196832,0.00196832
18,64.0333,0.64486,0.67408,1.08646,0.87082,0.84272,0.91392,0.76427,0.55022,0.6045,1.02075,0.00196634,0.00196634,0.00196634
19,67.4627,0.68421,0.6585,1.09748,0.9408,0.85138,0.91578,0.73211,0.58952,0.55782,1.06036,0.00196436,0.00196436,0.00196436
20,70.7638,0.67565,0.63304,1.07673,0.86785,0.85714,0.87987,0.71074,0.60052,0.65075,1.00832,0.00196238,0.00196238,0.00196238
