year,安徽,北京,福建,甘肃,广东,广西,贵州,海南,河北,河南,黑龙江,湖北,湖南,吉林,江苏,江西,辽宁,内蒙古,宁夏,青海,山东,山西,陕西,上海,四川,天津,新疆,云南,浙江,重庆,全国碳排放量
2000,220.3958396,68.21906263,203.3259426,152.5832566,284.4607847,211.2455023,165.4994425,1.647019742,359.2747881,332.1157667,228.2798778,275.6502027,235.8793208,130.1204109,269.0275738,169.1021616,169.3969826,212.4755213,74.3670856,18.5917714,277.5678552,148.7341712,135.8964846,117.9739141,260.9891004,58.22802427,281.2545364,79.45725494,158.3356063,71.33935684,5371.434618
2001,218.4208557,77.35516565,159.1176827,161.2723249,221.4591273,220.6337779,141.5020409,1.478692653,425.2116429,382.6176621,239.4088943,278.0796278,253.1516679,156.6554314,284.4530283,175.4907226,217.8557305,220.7784076,78.4251252,19.6062813,324.5233555,156.8502504,141.5951993,122.5445532,281.1985552,60.35521849,295.4784564,86.06421106,165.9514265,65.24426068,5632.779376
2002,242.6049001,77.8847813,171.2502592,168.8196221,275.7586558,218.7812034,173.3537654,21.63789375,454.401968,358.2694846,259.3474344,332.2691383,269.5153347,169.9704818,311.3388098,178.498421,227.5505484,245.4721485,82.22421008,21.63789375,378.4615581,204.5769116,150.6722307,128.4339011,325.187262,65.13894092,330.4840036,96.39652868,190.7119107,69.96443498,6200.614637
2003,333.7029863,81.95178762,196.246983,195.7650946,277.7577317,288.0299868,210.6007839,3.348375048,524.4459096,399.6296701,259.5501001,374.4863308,286.2666362,187.2003536,360.8870544,209.9611437,244.2784563,274.1155941,83.49454004,23.8893469,400.8972947,253.3990387,169.9145932,136.9788016,343.7380967,66.20121366,362.6330895,106.5966085,203.6274734,68.39064057,6927.985715
2004,399.9173391,88.13363243,249.3355204,245.4374036,405.1450222,310.3578274,214.6028809,2.795231616,538.7534832,548.5780841,305.8108934,373.7425079,328.334434,235.3197423,463.6705278,251.6516355,250.3586063,327.3681147,106.9253594,27.70394671,489.9230198,217.4253421,242.0461138,148.7175914,355.8249844,78.27712647,430.861334,107.4370319,239.3260327,68.26930703,8052.050077
2005,357.223856,92.12050897,222.7194592,211.1265904,361.8226524,334.5347637,252.8829673,2.32561251,554.7218994,554.882971,300.5472933,377.7981228,260.1230601,233.1731959,499.9230242,272.3334649,337.0847285,351.096803,90.8202955,28.90298988,572.9102579,342.9830824,235.133846,158.9390209,369.6946568,88.9824097,432.4757779,126.2318938,273.7692006,81.6441311,8378.928536
2006,239.2081103,96.66792509,173.7406011,243.5986836,406.4080656,325.607576,252.4597446,2.820387998,588.5410858,591.3650407,271.9851098,369.2331653,274.8580472,226.3135927,557.7337297,286.975004,333.8180841,361.0698839,103.4459202,29.93665142,711.4644482,386.3339154,253.9344398,165.2431456,374.928996,95.51672307,437.6001929,136.6226685,314.6252282,90.03085389,8702.087021
2007,272.5078061,102.8899215,180.4984946,228.5557242,420.9827742,288.8874405,268.7146686,2.882666619,635.7355416,629.8402624,299.8608583,356.3107797,268.0048668,185.1242083,607.1052801,226.5596141,345.9299096,398.9109985,113.8767529,30.7864432,791.4984825,404.4237873,286.3892474,174.7746792,307.579514,103.447274,400.4261383,138.8884515,354.6878602,99.16610002,8925.246546
2008,312.8581687,99.20893921,223.5205787,265.7195544,441.9457809,326.0552326,293.4112736,3.778305966,681.8011588,659.2613169,291.9437607,357.3475909,245.5582721,203.539812,595.6717513,194.7014788,340.5183242,476.3508239,122.6673853,18.78977166,828.3702369,405.3051596,271.772638,178.1546104,282.3376677,110.2302082,444.8433752,145.930633,362.2545049,126.2532299,9310.101544
2009,348.0399843,100.3872987,193.28539,192.9026141,456.22268,263.597488,322.0777828,4.341888635,699.6895815,671.2481398,251.3993004,326.391511,282.2018554,202.0210628,644.4747176,207.5016987,419.9815733,514.617594,120.6551245,17.76678158,840.6153013,397.5531031,232.9787538,179.0588244,314.479167,122.3469494,412.993809,145.1781934,369.2715782,133.0810866,9386.360833
